S.No,Title,Year,Ratings
1,The Shawshank Redemption,1994,9.2
2,The Godfather,1972,9.2
3,The Dark Knight,2008,9.0
4,The Godfather Part II,1974,9.0
5,Angry Men,1957,9.0
12,List,1993,8.9
6,The Lord of the The Return of the King,2003,8.9
7,Pulp Fiction,1994,8.8
8,The Lord of the The Fellowship of the Ring,2001,8.8
9,Il il il cattivo,1966,8.8
10,Forrest Gump,1994,8.8
11,Across the,2023,8.8
12,Fight Club,1999,8.7
13,The Lord of the The Two Towers,2002,8.7
14,Inception,2010,8.7
15,Star Episode V The Empire Strikes Back,1980,8.7
16,The Matrix,1999,8.7
17,GoodFellas,1990,8.7
18,One Flew Over the Nest,1975,8.6
19,a Wonderful Life,1995,8.6
20,Shichinin no samurai,It's,8.6
21,The Silence of the Lambs,1946,8.6
22,Saving Private Ryan,1954,8.6
23,Cidade de Deus,1991,8.6
24,Interstellar,1998,8.6
25,La vita è bella,2002,8.6
26,The Green Mile,2014,8.6
27,Star Wars,1997,8.6
28,Terminator Judgment Day,1999,8.5
29,Back to the Future,1977,8.5
30,Sen to Chihiro no kamikakushi,1991,8.5
31,The Pianist,1985,8.5
32,Psycho,2001,8.5
33,Gisaengchung,2002,8.5
34,Léon,1960,8.5
35,The Lion King,2019,8.5
36,Gladiator,1994,8.5
37,American History X,1994,8.5
38,The Departed,2000,8.5
39,Whiplash,1998,8.5
40,The Prestige,2006,8.5
41,The Usual Suspects,2014,8.5
42,Casablanca,2006,8.5
43,Hotaru no haka,1995,8.5
44,Seppuku,1942,8.5
45,The Intouchables,1988,8.5
46,Modern Times,1962,8.5
47,Once Upon a Time in the West,2011,8.4
48,Nuovo Cinema Paradiso,1936,8.4
49,Rear Window,1968,8.4
50,Alien,1988,8.4
51,City Lights,1954,8.4
52,Apocalypse Now,1979,8.4
53,Memento,1931,8.4
54,Django Unchained,1979,8.4
55,Raiders of the Lost Ark,2000,8.4
56,The Lives of Others,2012,8.4
57,Sunset Blvd,1981,8.4
58,Paths of Glory,2008,8.4
59,Infinity War,2006,8.4
60,The Shining,1950,8.4
61,The Great Dictator,1957,8.4
62,Witness for the Prosecution,2018,8.4
63,Into the,1980,8.4
64,Aliens,1940,8.4
65,American Beauty,1957,8.4
66,The Dark Knight Rises,2018,8.3
67,Dr Strangelove How I Learned to Stop Worrying and Love the Bomb,1986,8.3
68,Inglourious Basterds,1999,8.3
69,Oldeuboi,2012,8.3
70,Coco,1964,8.3
71,Amadeus,2009,8.3
72,Toy Story,2003,8.3
73,Braveheart,2017,8.3
74,Das Boot,1984,8.3
75,Joker,1995,8.3
76,Endgame,1995,8.3
77,Good Will Hunting,1981,8.3
78,Once Upon a Time in America,2019,8.3
79,Kimi no na wa,2019,8.3
80,Idiots,1997,8.3
81,in the Rain,1997,8.3
82,Tengoku to jigoku,1984,8.3
83,Requiem for a Dream,2016,8.3
84,Capharnaüm,2009,8.3
3,Toy Story,1952,8.3
85,Star Episode VI Return of the Jedi,1963,8.3
86,Idi i smotri,2000,8.3
87,Eternal Sunshine of the Spotless Mind,2018,8.3
88,A Space Odyssey,2010,8.3
89,Jagten,1983,8.3
3,Reservoir Dogs,1985,8.3
90,Lawrence of Arabia,2004,8.3
91,Citizen Kane,1968,8.3
92,Ikiru,2012,8.3
93,M Eine Stadt sucht einen Mörder,1992,8.2
94,North by Northwest,1962,8.2
95,The Apartment,1941,8.2
96,Vertigo,1952,8.2
97,Le fabuleux destin Poulain,1931,8.2
98,Double Indemnity,1959,8.2
99,A Clockwork Orange,1960,8.2
100,Full Metal Jacket,1958,8.2
101,Scarface,2001,8.2
102,Hamilton,1944,8.2
103,Incendies,1971,8.2
104,Heat,1987,8.2
105,Up,1983,8.2
106,To Kill a Mockingbird,2020,8.2
107,The Sting,2010,8.2
108,Jodaeiye Nader az Simin,1995,8.2
109,Metropolis,2009,8.2
110,Die Hard,1962,8.2
111,LA Confidential,1973,8.2
112,Indiana Jones and the Last Crusade,2011,8.2
113,Snatch,1927,8.2
114,Ladri di biciclette,1988,8.2
115,Taxi Driver,1997,8.2
116,Taare Zameen Par,1989,8.2
117,Dangal,2000,8.2
118,Der Untergang,1948,8.2
119,Top Maverick,1976,8.2
120,Per qualche dollaro in più,2007,8.2
121,Batman Begins,2019,8.2
122,The Kid,2016,8.2
123,Some Like It Hot,2004,8.2
1917,The Father,Gun:,8.2
124,The Wolf of Wall Street,2022,8.2
125,All About Eve,1965,8.2
126,Green Book,2005,8.2
127,Judgment at Nuremberg,1921,8.2
128,Ran,1959,8.2
129,The Truman Show,2020,8.2
130,Casino,2013,8.2
131,There Will Be Blood,1950,8.2
132,Labyrinth,2018,8.2
133,Unforgiven,1961,8.2
134,Shutter Island,1985,8.2
135,The Sixth Sense,1998,8.2
136,Jurassic Park,1995,8.2
137,A Beautiful Mind,2007,8.2
138,The Treasure of the Sierra Madre,2006,8.2
139,Yôjinbô,1992,8.2
140,Monty Python and the Holy Grail,2010,8.2
141,No Country for Old Men,1999,8.2
142,Kill Vol,1993,8.1
143,The Great Escape,2001,8.1
144,Rashômon,1948,8.1
145,The Thing,1961,8.1
146,Finding Nemo,1975,8.1
147,No Way Home,2007,8.1
148,The Elephant Man,2003,8.1
149,Chinatown,1963,8.1
150,Raging Bull,1950,8.1
1,V for Vendetta,1982,8.1
151,Gone with the Wind,2003,8.1
152,Dial M for Murder,2021,8.1
153,Hauru no ugoku shiro,1980,8.1
154,Stock and Two Smoking Barrels,1974,8.1
155,Inside Out,1980,8.1
156,El secreto de sus ojos,2005,8.1
157,Three Billboards Outside Missouri,1939,8.1
158,Prisoners,1954,8.1
159,The Bridge on the River Kwai,2004,8.1
160,Trainspotting,1998,8.1
161,Guardians of the Galaxy Vol,2015,8.1
162,Fargo,2009,8.1
163,Warrior,2017,8.1
164,Gran Torino,2013,8.1
165,Catch Me If You Can,1957,8.1
166,Tonari no Totoro,1996,8.1
167,Million Dollar Baby,2023,8.1
168,aseman,1996,8.1
169,Klaus,2011,8.1
170,The Gold Rush,2008,8.1
3,Blade Runner,2002,8.1
171,Harry Potter and the Deathly Part,1988,8.1
172,Years a Slave,2004,8.1
173,Before Sunrise,1997,8.1
174,The Grand Budapest Hotel,2019,8.1
175,Gone Girl,1925,8.1
176,On the Waterfront,1982,8.1
177,Barry Lyndon,2011,8.1
178,The General,2013,8.1
179,Smultronstället,1995,8.1
180,In the Name of the Father,2014,8.1
181,The Deer Hunter,1959,8.1
2,Hacksaw Ridge,2014,8.1
182,The Third Man,1954,8.1
12,Le salaire de la peur,1975,8.1
183,Salinui chueok,1926,8.1
184,Sherlock Jr,1957,8.1
185,Relatos salvajes,1993,8.1
186,Mr Smith Goes to Washington,1978,8.1
187,Mad Fury Road,2016,8.1
188,Mary and Max,1949,8.1
189,Dead Poets Society,1953,8.1
190,Inc,2003,8.1
191,How to Train Your Dragon,1924,8.1
192,Det sjunde inseglet,2014,8.1
193,Jaws,1939,8.1
194,Room,Max:,8.1
195,The Big Lebowski,2015,8.1
196,Tôkyô monogatari,2009,8.1
197,Ford v Ferrari,1989,8.1
198,La passion de Jeanne,2001,8.1
199,Hotel Rwanda,2010,8.1
200,Ratatouille,1957,8.1
201,Rocky,1975,8.1
202,Platoon,2015,8.1
203,Spotlight,1998,8.0
204,Logan,1953,8.0
205,The Terminator,2019,8.0
206,Jai Bhim,1928,8.0
207,Rush,2004,8.0
208,Before Sunset,2007,8.0
209,Stand by Me,1976,8.0
210,Network,1986,8.0
211,Into the Wild,2015,8.0
212,The Wizard of Oz,2017,8.0
213,The Best Years of Our Lives,1984,8.0
214,La haine,2021,8.0
215,The Exorcist,2013,8.0
216,The Incredibles,2004,8.0
217,To Be or Not to Be,1986,8.0
218,Pirates of the The Curse of the Black Pearl,1976,8.0
219,Groundhog Day,2007,8.0
220,Babam ve Oglum,1939,8.0
221,The Grapes of Wrath,1946,8.0
222,La battaglia di Algeri,1995,8.0
223,A Tale,1973,8.0
224,Pather Panchali,2004,8.0
225,Amores perros,1942,8.0
226,Rebecca,2003,8.0
227,Cool Hand Luke,1993,8.0
228,The Sound of Music,2005,8.0
229,It Happened One Night,1940,8.0
230,Les quatre cents coups,1966,8.0
231,Persona,2009,8.0
232,The Help,1955,8.0
233,The Iron Giant,2016,8.0
234,Life of Brian,2000,8.0
235,Aladdin,1940,8.0
236,Dances with Wolves,1967,8.0
